username,channel,message
yoi_97,#jinnytty,Coomer clips inc
shayuki,#loltyler1,Pog
dervator,#loltyler1,EZ
premixclamp67,#jinnytty,Prayge
iamlodd,#loltyler1,LOL??
kaisensiru,#jinnytty,4Head
tecnogtwitch,#jinnytty,damn 65 monkaW
pipkopipkopipko,#loltyler1,???????
evilhenchman,#jinnytty,4Head
dam________,#jinnytty,4Head
ima_four,#loltyler1,wtf????????
selimelboludo,#loltyler1,Pog
hotnfoamy,#jinnytty,KEKW
haruiswaifu,#jinnytty,4Head
zomboden,#loltyler1,Pog
peepopopcorn,#jinnytty,4Head
genzo83,#jinnytty,4Head
failurelmao12,#loltyler1,????????????
revonn_l,#jinnytty,68
turpx,#jinnytty,4Head
syloa,#jinnytty,KEKW
elegs,#jinnytty,4Head
cozican17,#jinnytty,this is the better ronaldo
lampaanvilla,#loltyler1,!rank
unclerudy,#jinnytty,monkaS
priyaraj10,#jinnytty,HUH
friday2049,#loltyler1,IRELIA???????????????????
thordouble,#jinnytty,hahahahhahah
thefirstsnowflake,#jinnytty,4Head
hotchocolate_,#loltyler1,wtf lol
genothunder,#jinnytty,4Head
ashbash159,#jinnytty,4Head
f0esh,#loltyler1,na flash LUL
dlcx17,#loltyler1,!rank
sovereignai,#loltyler1,OMEGAhaHAA
tough_guy__69,#loltyler1,KR SDO BAAAAAAAAAAD
justanasolmain,#loltyler1,xD
andrewww16,#loltyler1,irelia????
dem0nicus,#jinnytty,Kekspin
jakco1998,#jinnytty,68
ilcontadinotedesco,#jinnytty,4Head hahahahah
yakitorii87,#jinnytty,4Head good one
softlesbiankisses,#jinnytty,3Head
m4st3rl1m,#jinnytty,4Head
leroyjackson4,#loltyler1,9MS BTW
liquidlost,#loltyler1,???????????????????????
haruiswaifu,#jinnytty,4Head 󠀀
ballzyplays,#loltyler1,Kindred 1 death per min
silverrcrow,#jinnytty,LUL
seriouscoolguy,#jinnytty,4Head
allexxx1996,#jinnytty,is not soccer 4WeirdW
brelovix,#loltyler1,L U L
fakebobstwitch,#jinnytty,LuvPeekL
warriorg0dly,#loltyler1,xDDDD
memols,#loltyler1,EZ
arkem232,#jinnytty,monkaW
ivaka9858,#loltyler1,pog
jindou,#jinnytty,monkaW
moryttz,#jinnytty,4Head
kentlim1723,#loltyler1,EZ
cartitekk,#loltyler1,FeelsGoodMan
bl1d5,#jinnytty,4Head
hi_im_baccano,#jinnytty,lmao
jortemur,#jinnytty,4Head
coffdrop44,#loltyler1,what elo is this
uchihakazashi,#loltyler1,??????????????????????????????????????????
santeebo,#loltyler1,KR SERVER KEKW
ithemistery,#loltyler1,??????????
filation,#loltyler1,KEKW
redd1shpurple,#loltyler1,korea is so shit
azkabanchamberstone23,#loltyler1,LOOOOKL
azizking777,#loltyler1,Pog
smileytttt,#loltyler1,KR IRELIA OMEGALUL
heisenberg1121,#jinnytty,4Head
dolov1,#loltyler1,lol
spogg,#loltyler1,Irelia players smh
2ez4ming,#jinnytty,hahahahahahahaha
xiaolu87,#jinnytty,4Head HAHA
gamergoon53,#jinnytty,CurseLit CurseLit CurseLit
ioixdd,#loltyler1,??
thrn247,#jinnytty,wtf
shotaroshu,#jinnytty,scary
fuserxpkt,#jinnytty,YEP
vincentt23,#jinnytty,4Head
ayayapapi,#loltyler1,oOOOKAY
law_eth,#jinnytty,4Head ahHAhAHahHA
alanian123,#loltyler1,IS IT THOUGH ?
donaustadtmaschine,#loltyler1,?????
justinian7,#jinnytty,4Head
folderr_,#loltyler1,??????????
flyiaaa,#loltyler1,?
ojhino,#loltyler1,CAN YOU JUST STOP DYING FOR 5 MINUTES?
ryemik,#loltyler1,TriHard 7
themooncaster,#jinnytty,A A A A AA A'
david_44b,#jinnytty,4Head
ldrazesl,#loltyler1,!rank
haruiswaifu,#jinnytty,4Head
hzm890,#jinnytty,68 floor?
xsavitar_,#jinnytty,monkaW
zeibi_01,#jinnytty,LUL LUL LUL LUL LUL
edwardafk,#loltyler1,lol
gizimoo86,#jinnytty,wtf
millennialgodfather,#jinnytty,wtf
mesh_17,#jinnytty,4Head
lebryantjordan,#jinnytty,KKonaW she is one of us
fossabot,#loltyler1,"@ldrazesl, ACCOUNTS: BIG TONKA T is currently Master I 111 LP"
allexxx1996,#jinnytty,is  not soccer 4WeirdW
topmiddle,#jinnytty,Not this one
thefirstsnowflake,#jinnytty,4Head  world record
zumokook,#jinnytty,peepoGiggle
wypool,#jinnytty,The laugh OMEGALUL
kevke337,#jinnytty,monkaW
slyf0x__,#jinnytty,KEWK 4Head
dark_knight_of_twitch,#loltyler1,YESSIR THATS BIG TONKA T EZ
ba0x,#jinnytty,4Head
skyraelm,#jinnytty,creepyChamp
zay_ih,#jinnytty,4Head hahahahaha
diz_ease,#jinnytty,PrideWorld PrideWorld PrideWorld PrideWorld
alagangdowny,#jinnytty,hahahahahahahahah
ipoopflowers,#loltyler1,!opgg
5starbr686,#jinnytty,hahahahaha 4Head
firesuckertv,#jinnytty,4Head
peepopopcorn,#jinnytty,4Head 󠀀
fossabot,#loltyler1,@ipoopflowers https://www.op.gg/summoners/kr/BIG%20TONKA%20T
tommo_______,#loltyler1,KR MASTERS OMEGALUL
strawhatchase,#jinnytty,4Head
wicc,#loltyler1,KR MASTER IRELIA
nenanue,#jinnytty,monkaW  󠀀
zhsheri,#jinnytty,4Head
ninzorwow,#loltyler1,!rank
hugo____balls,#jinnytty,4Head
ward_c17,#jinnytty,4Head haahaha
dam________,#jinnytty,4Head HAAAAHAHAHAHAHA
oddthefool,#loltyler1,Is this NA Bronze KEKW
kairnazzx007,#jinnytty,goofy ahh laugh
erenpls3,#loltyler1,IRELIAING
mazaroo,#jinnytty,4Head
lonolt,#loltyler1,EZ Clap
blackmarketzyra,#loltyler1,1 on 9 kindred OMEGALUL
pissbeard,#loltyler1,Pog hoooly
codrutuhere4you,#loltyler1,peepoGiggles
superteemomain07,#loltyler1,KEKW VIKTOR LOSING TO THAT
kipseu,#jinnytty,monkaW
happyfluffyteddy,#jinnytty,4Head
elmulo_reventiov,#jinnytty,4Head
tulhaopc,#loltyler1,FREE
haruiswaifu,#jinnytty,4Head 󠀀
rlagusgh1415,#loltyler1,omegaLUL
buzina_do_chacrinha,#jinnytty,hahahah
doc_aaron,#loltyler1,?
lesmyrtilles,#jinnytty,4Head 4Head 4Head
gachigasm_windchime,#loltyler1,IRELIA PLAYERS KEKW
peepopopcorn,#jinnytty,4Head
ivaka9858,#loltyler1,ez
blind_metal,#jinnytty,"i think he streams on twitch, right?"
kevke337,#jinnytty,4Head
austinonebe,#loltyler1,KR LOL
stockmarketsftw,#jinnytty,4Head
rickylahh,#jinnytty,goat laugh
slickrick2789,#loltyler1,tyler1Dab tyler1Dab
elijahblu_,#jinnytty,4Head
kyuso_k,#loltyler1,???????????
sicrano77,#jinnytty,4Head
saintxfps,#loltyler1,wasnt he 250 LP yesterday? damn
nightbot,#loltyler1,Facebook: goo.gl/qXAuJY Twitter: twitter.com/lol_tyler1 YouTube Channel: youtube.com/tyler1lol Website: loltyler1.com and don't forget to follow the stream!
threadedsquid,#jinnytty,Denver laugh
skysage,#jinnytty,4Head
tidoubleu,#jinnytty,4Head
vinnyx2,#loltyler1,KR BEST SERVER BTW OMEGALUL
ima_four,#loltyler1,that IRELIA BigBrother
haruiswaifu,#jinnytty,4Head
viktor_del,#jinnytty,4Head
arkem232,#jinnytty,Wtf is that laugh?
filation,#loltyler1,IRELIA modCheck
almot200,#jinnytty,gptvBUTT
liquidlost,#loltyler1,???
existenceofenigmas,#jinnytty,SeemsGood
ghostcaptcha,#jinnytty,[ominous laughter]
ilcontadinotedesco,#jinnytty,4Head ye heheheh
battleaxebob,#loltyler1,typical irelia player OMEGALUL
dackelqwackel_,#jinnytty,"4Head no ghost, huh?"
sadteeto,#loltyler1,KR IRELIA
yvan_nix,#jinnytty,HHAHAHAHA
alexdts,#loltyler1,irelia moment
voidheart2,#loltyler1,TriHard 7
superschultz90,#jinnytty,4Head
rudeguychase,#loltyler1,IRELIA KEKW
notelok1,#loltyler1,???
keith_2008,#jinnytty,LULW
aahniky,#jinnytty,wow he laughed like denver
nerfy39,#jinnytty,4Head hahahahahaha
sleepmap,#jinnytty,PepePoint
fifitwitchgames,#loltyler1,kindred 1/9 lol
thefirstsnowflake,#jinnytty,4Head  WR
sodragon,#jinnytty,4Head
savenature47,#jinnytty,4Head
uncommon__man,#jinnytty,"ONCE YOU GO TOO HIGH , YOU NEVER COME DOWN"
peepopopcorn,#jinnytty,4Head 󠀀
luckypoggerwealthygenius,#jinnytty,Football
awakeneddesire,#jinnytty,4Head
parker_sa,#loltyler1,????
liquidlost,#loltyler1,Kek
xsavitar_,#jinnytty,CreepyChamp
godzillian,#loltyler1,paid actor
rlagusgh1415,#loltyler1,free
ominousgarou,#loltyler1,"@Jaffy_LoL ye two weeks doesnt mean im in chat you low iq horse. if you had any job, you wouldnt be there every day. Wtf are you on you loser."
n00dles99,#jinnytty,HAHAHAHHAHAHAH
migssj,#loltyler1,damn this server is truly pathetic
vgvirt,#jinnytty,go to 69
mati887,#jinnytty,KEKW
thebulleyes,#jinnytty,HHHHHHHH
maaaajki,#loltyler1,!opgg
yunghummer,#jinnytty,icpBrows
ugworm_,#jinnytty,4Head
comsethazine,#jinnytty,4Head
leonfighter65,#jinnytty,4Head
fossabot,#loltyler1,@Maaaajki https://www.op.gg/summoners/kr/BIG%20TONKA%20T
haruiswaifu,#jinnytty,4Head 󠀀
1________________________,#jinnytty,evil laugh  monkaLaugh
common_doom,#jinnytty,Mak Kao Hijau
xdgiggleman,#loltyler1,big T tonka gonna win this!
c0mplez,#loltyler1,BigBrother
serocyan,#loltyler1,!rank
fakebobstwitch,#jinnytty,Shush
stockmarketsftw,#jinnytty,Popoga 4Head
kipseu,#jinnytty,bapak malu siot 4Head
rangzzz,#jinnytty,4Head a a a a a a a a a a a a
k3nt0456,#jinnytty,4Head
fossabot,#loltyler1,"@serocyan, ACCOUNTS: BIG TONKA T is currently Master I 111 LP"
modsrdonkies,#loltyler1,kr players dogshit
elmulo_reventiov,#jinnytty,4Head ha hah ah hah
malaysiandurianvendor,#jinnytty,Laugh like goat
deepcluster,#jinnytty,KEKW
elpsykoujiro,#jinnytty,yyjPopcorn
frog_andy,#loltyler1,maybe roaming is always the play since they will always limit test KEKW
wooshblammo,#jinnytty,creeper
cj_beh,#jinnytty,LUL
ryanalwayswins,#loltyler1,WutFace
tgpano,#loltyler1,ENEMY BETED ON TYLER WIN KEKW
thrn247,#jinnytty,yyjDisgust
itsdoublew,#loltyler1,what the actual fuck is this server
suchamazewow,#loltyler1,Irelia come here BigBrother
madkiller64,#jinnytty,EVIL LKAUGH
ithemistery,#loltyler1,"what is happening, brother??? lol"
darkexile1,#jinnytty,yyjPopcorn
choomantar1,#jinnytty,60 miutesleft
karamjanager,#loltyler1,IRELIA PLAYERS OMEGALUL 0 GAME KNOWLEDGE
lenion20,#jinnytty,PepeLaugh
mageofequinox,#loltyler1,???????
nomercydlkh,#jinnytty,garitdFeltcute garitdFeltcute garitdFeltcute garitdFeltcute
kayume_,#loltyler1,looking like my irelia
kyrios_fan,#loltyler1,tyler1C 420 KDA tyler1C
rexdesmond,#jinnytty,4Head
spaman42,#loltyler1,
aahniky,#jinnytty,denver from money heist
weirdpartofnight,#jinnytty,loo
spenntard,#loltyler1,1/9
syrup_lychee,#jinnytty,malu apa bossku
fatemissclicks,#jinnytty,4Head
mythicarl03,#jinnytty,eyow you look tired.
tonyseah007,#jinnytty,coming down~
crazylegs96,#jinnytty,That laugh
eptimone,#loltyler1,shes used to bullying squishes KEKW
liquidlost,#loltyler1,123321123456
azulaa08,#loltyler1,there was an bug in mid XD
bloys009,#loltyler1,KR tyler1R
syntaxmyths,#jinnytty,4Head
topmiddle,#jinnytty,monkaW
winyarnmuddyguddy,#jinnytty,yyjWiggle
superbabiman,#jinnytty,jinny say mak kau hijau
alaz_x,#loltyler1,!rank
fossabot,#loltyler1,"@alaz_x, ACCOUNTS: BIG TONKA T is currently Master I 111 LP"
zwartedan,#jinnytty,Jinny’s ears are gonna pop
sadteeto,#loltyler1,best region OMEGAhaHAA
fishy_flavor,#jinnytty,cheater laugh forsenCD
yallahabibi42069,#loltyler1,Good morning T1
dropkings9,#jinnytty,4Head
cyberpandaone,#jinnytty,KHHH
threadedsquid,#jinnytty,Denver from money heist
allexxx1996,#jinnytty,yyjPopcorn
dmitrevicz,#jinnytty,Kreygasm
nickcartman,#jinnytty,Take the stairs
mob1900,#jinnytty,he said somebody havent come down yet
gorillamasks,#jinnytty,Awk
revonn_l,#jinnytty,go to 68
cocoacake5,#jinnytty,PauseChamp
4sleepless,#loltyler1,"@OminousGarou dude its his money? like whats wrong with that ? but you came in wiht negative coments my dud thats about it, i didnt say aynthing else"
b33day,#jinnytty,evil PepeLaugh
heyitskoa,#loltyler1,??
leseanz,#jinnytty,DIAM la babi
austinonebe,#loltyler1,NA>KR
unckle_ed,#jinnytty,Sounds like the joker is behind you
jetjelly,#jinnytty,Hmm
sicrano77,#jinnytty,monkaW
weirdpartofnight,#jinnytty,i mean lol
slickrick2789,#loltyler1,KR KEKW
moryttz,#jinnytty,monkaW
ay1kasiu,#loltyler1,@Opat04 zapni stream ty šmucko omg
priyaraj10,#jinnytty,4Head
ima_four,#loltyler1,Irelia one of us BigBrother
evil_intentions,#jinnytty,NPC on wrong settings
elma_maria_varios,#loltyler1,SMOrc  ME FIGHT ALL TIME
ayayapapi,#loltyler1,YOU GOT THIS BRO BatChest
sizzlaa,#jinnytty,나나
l8yourcat,#loltyler1,Klownrea
unlimited_ninja,#loltyler1,??????
moonsnail01,#jinnytty,take the stairs
sodragon,#jinnytty,yyjPopcorn
tyler1__play__pentakill,#loltyler1,PENTAKILL NODDERS PENTAKILL NODDERS PENTAKILL NODDERS PENTAKILL NODDERS PENTAKILL NODDERS PENTAKILL NODDERS PENTAKILL NODDERS
kipseu,#jinnytty,PepeLaugh
allexxx1996,#jinnytty,yyjPopcorn 󠀀
tries_hard,#loltyler1,T1 WILL CARRY
mcbainz,#loltyler1,Winnable easy
yvan_nix,#jinnytty,peepoPopcorn
fakebobstwitch,#jinnytty,modCheck
doctorbadtouch,#loltyler1,think we can say NA > KR with this game
iztheone,#jinnytty,elevator pretty slow though
suppenkasper79,#jinnytty,yyjShoot hahahahahahahahahahahahaha
ironpunch9929,#loltyler1,Has he broke the losing steak yet?
raakimus123,#loltyler1,Kr players KEKW
awakeneddesire,#jinnytty,BOO
mr__rui,#loltyler1,h4h4h4h4h4h4h4h4
sabaol,#jinnytty,lmao
diefo12,#loltyler1,jesus shut the fuck up urgot
staszewa,#loltyler1,4Head
areallystalememe,#loltyler1,Chinese betting sites Aware
reno_gaming6,#jinnytty,door to heaven
dark_knight_of_twitch,#loltyler1,Waiting for the day Tyler mains ILLAOI KEKW
ugworm_,#jinnytty,PepeLaugh lag tower
juno7,#loltyler1,go river urgot
blind_metal,#jinnytty,are you sure?
squidcub,#loltyler1,these KR players KEKW how is this high elo?
eagleclaw81,#jinnytty,👻 in elevator
aroniuks0101,#loltyler1,kekw
the___omen,#loltyler1,tylerWat
ffe_,#jinnytty,!uptime
streamelements,#jinnytty,"@ffe_, jinnytty has been streaming for  2 hours 40 mins"
auraxed,#jinnytty,Good exercise
theonetheyfear,#jinnytty,OMEGALUL
ivan_jerkov,#loltyler1,kompol
allexxx1996,#jinnytty,yyjPopcorn
auraxed,#jinnytty,PauseChamp
deepcluster,#jinnytty,PepeLaugh
rudeguychase,#loltyler1,Urgot POG
almot200,#jinnytty,Damb
lloyds128,#jinnytty,😃
theonetheyfear,#jinnytty,Dont say that
darrenleesl,#jinnytty,your mother is green
arkem232,#jinnytty,Do it 4WeirdW
shebangbinbash,#loltyler1,!rank
malaysiandurianvendor,#jinnytty,Hijau?
jesse_000,#loltyler1,AngelThump
mathewcheng01,#jinnytty,PauseChamp
whatisthiszz,#jinnytty,KEKW
alanian123,#loltyler1,KreyGasm
zay_ih,#jinnytty,PepeLaugh
fossabot,#loltyler1,"@shebangbinbash, ACCOUNTS: BIG TONKA T is currently Master I 111 LP"
darkexile1,#jinnytty,PauseChamp
softlesbiankisses,#jinnytty,PogU let's go
sfshion111,#jinnytty,take the stairs PepeLaugh
sonicresonance777,#jinnytty,meow123Monkas
celestialskyye,#loltyler1,NA>KR Copeler1
wittleplushy,#loltyler1,Winnable Pog
ilcontadinotedesco,#jinnytty,ghosts in the elevator??? WutFace
tommo_______,#loltyler1,i swear all these koreans do is limit test on alts .. maybe challenger has a huge leap but seems doubtable
sizzlaa,#jinnytty,yyjBloodTrail
allexxx1996,#jinnytty,BBoomer
thefirstsnowflake,#jinnytty,PepeLaugh
smileytttt,#loltyler1,KR FIGHTING Pepega
comsethazine,#jinnytty,PepeLaugh
kimikumm,#jinnytty,pagPause
elegs,#jinnytty,HUH
wijayaprat30,#jinnytty,PepeLaugh
sicrano77,#jinnytty,PauseChamp
justeetuu,#jinnytty,PepeWait
alanian123,#loltyler1,Kreygasm
maris192,#jinnytty,yayInternetJanitors
kofupoka__,#jinnytty,wait tmr
slizzyly,#jinnytty,PauseChamp
tidoubleu,#jinnytty,PauseChamp oilers???
ashbash159,#jinnytty,modCheck oilers
snowychz,#jinnytty,oilers DinkDonk
strawhatchase,#jinnytty,PepeLaugh
theonetheyfear,#jinnytty,DONT SAY THAT LMFAO
cocoacake5,#jinnytty,PepeLaugh
spaman42,#loltyler1,T1 >>>>> KR TRASH PLAYER
diamondead1,#loltyler1,URGOT STFU
b33day,#jinnytty,just stair
deepstorge1,#jinnytty,modCheck Oilers
priyaraj10,#jinnytty,PepeLaugh
linus10,#loltyler1,KEKW 1-9
mathewcheng01,#jinnytty,PauseChamp ...
miraiii666,#jinnytty,PepeLaugh Don't
twitchjedi,#jinnytty,PauseChamp
cocoacake5,#jinnytty,Pog
sodragon,#jinnytty,yyjPause
darrenleesl,#jinnytty,nudge you fail
skyraelm,#jinnytty,xqcHead
almot200,#jinnytty,Damn
failurelmao12,#loltyler1,-130 LP LOL
yus1785,#loltyler1,BigBrother HE IS A PROBLEM
thefirstsnowflake,#jinnytty,PauseChamp
nickcartman,#jinnytty,PogU let's do it
threadedsquid,#jinnytty,jinny go to water park
thadoril,#jinnytty,yyjMods
nerfy39,#jinnytty,PauseChamp
dowblofe,#loltyler1,MISSED PINK WARD
cyberpandaone,#jinnytty,DO IT FOR FREE 4WeirdW
vgvirt,#jinnytty,tomorrow? PauseChamp
lloyds128,#jinnytty,minus 5kg
kontolatoss,#loltyler1,!rank
xiaolu87,#jinnytty,where oiler
moonsnail01,#jinnytty,great exercise haha
fossabot,#loltyler1,"@kontolatoss, ACCOUNTS: BIG TONKA T is currently Master I 111 LP"
zhsheri,#jinnytty,PepeLaugh
chadpizzaman,#loltyler1,tyler1E tyler1E tyler1E tyler1E
paranoid_metroid,#jinnytty,PauseChamp
arkem232,#jinnytty,You’re indoors
darrenleesl,#jinnytty,kid you fail
rocketman_abc,#jinnytty,ommaSad
elijahblu_,#jinnytty,PauseChamp ...
theonetheyfear,#jinnytty,SOMEONE WILL KEKL
choomantar1,#jinnytty,stairs wud be healthy jimboo
heisenberg1121,#jinnytty,PepeLaugh would be a 24 hour stream
jumpingcloud,#jinnytty,PauseChamp oilers
thefirstsnowflake,#jinnytty,PauseChamp  oilers
obscuredeath94,#jinnytty,good exercise YEP
seriouscoolguy,#jinnytty,tomorrow?
rakhox,#jinnytty,monkaW
mobeirut,#loltyler1,@ominousgarou That dude got no life.
sodragon,#jinnytty,LUL
f0oman,#jinnytty,is the sub challenge this week?
yunghummer,#jinnytty,65 floors walk LUL
zay_ih,#jinnytty,PauseChamp
dirtsharkk_,#jinnytty,D:
allexxx1996,#jinnytty,not worth NOIDONTTHINKSO
dmitrevicz,#jinnytty,dress is so cute
auraxed,#jinnytty,modCheck Jinjin subs
darrenleesl,#jinnytty,imdel where you at
4sleepless,#loltyler1,@OminousGarou @Jamerlybob  he isnt even talking about me KEKW but about one other guy
ankeer387,#loltyler1,No control ward BigBrother
dem0nicus,#jinnytty,deth
jumpingcloud,#jinnytty,PauseChamp oilers come on
kipseu,#jinnytty,jinjinplscumback? modCheck
cyberpandaone,#jinnytty,DO IT FOR FREE 4WeirdW .
k3nt0456,#jinnytty,YEP
woodywombpecker69,#loltyler1,jhin is asking kindred why play kindred
sinclair_bear,#jinnytty,@kofupoka__ Whats going on tomorrow?
howsthewine,#loltyler1,KEKW
hoiman8,#jinnytty,PauseChamp
allexxx1996,#jinnytty,not  worth NOIDONTTHINKSO
malaysiandurianvendor,#jinnytty,Take stairs
stephen33281,#jinnytty,ye
sonicresonance777,#jinnytty,meow123Bruhh
airbomb24,#jinnytty,go down the stairs then
stockmarketsftw,#jinnytty,PauseChamp
aroniuks0101,#loltyler1,","
jerryfanboy,#loltyler1,?
tojrhaegar,#loltyler1,gg
austinonebe,#loltyler1,?????
slickrick2789,#loltyler1,tyler1NLT tyler1NLT tyler1NLT
auraxed,#jinnytty,modCheck 1000 subs jinjin?
shayuki,#loltyler1,KEKW
kcin_point,#jinnytty,then you can weight again after
wijayaprat30,#jinnytty,PauseChamp
paink200,#loltyler1,KEKW
hox20s,#loltyler1,Sadge
5734l3r,#loltyler1,KEKW
tyler1__play__pentakill,#loltyler1,kekw
savenature47,#jinnytty,PauseChamp
yeldfn,#loltyler1,15
turyx,#loltyler1,KEKW
tairadono,#jinnytty,good way to lose weight
iztheone,#jinnytty,nah you'll survive :D
twitchjedi,#jinnytty,YEP
vibin1nthevoid,#jinnytty,Deadge
tyler1__play__pentakill,#loltyler1,KEKW
linus10,#loltyler1,KEKW GG
yvan_nix,#jinnytty,monkaW
yonsi,#loltyler1,lol
wittleplushy,#loltyler1,KEKW
thadoril,#jinnytty,PauseChamp
koecccc,#loltyler1,!opgg
maris192,#jinnytty,you can't do it anyway
mcbainz,#loltyler1,Focus up T you win this
ryanalwayswins,#loltyler1,ff
fossabot,#loltyler1,@koecccc https://www.op.gg/summoners/kr/BIG%20TONKA%20T
airwolf_swe,#jinnytty,BBoomer
pastell31,#loltyler1,KEKW
thisistib,#loltyler1,KEKW
haruiswaifu,#loltyler1,KEKW 󠀀
alanian123,#loltyler1,15
alexdts,#loltyler1,gg KEKW
assuredfob,#loltyler1,NotLikeThis
pomprocks,#loltyler1,FF
awakeneddesire,#jinnytty,rip
primudeus,#loltyler1,1-10 :)
peter_berling,#jinnytty,so we got a sub goal challange
daddyderek1969,#loltyler1,This is pretty Xd
farisss_,#loltyler1,Sadge
dpharaohj,#loltyler1,1v9
b33day,#jinnytty,EZ
elpsykoujiro,#jinnytty,yyjPopcorn
blazond,#loltyler1,1/10 KINDRED KEKW
feeisweirdm4n,#loltyler1,Sadge
cheese1941,#loltyler1,FF KEKW
ikurokage,#loltyler1,1-10
jasonk26,#loltyler1,KEKW BELIEVERS
gachigasm_windchime,#loltyler1,Pepega fight
kodeej,#jinnytty,got to lose them 200 grams
the_lone_slayer,#loltyler1,PotFriend PotFriend PotFriend
paink200,#loltyler1,KEKW Clap
lebryantjordan,#loltyler1,"good luck big t, go have fun in korea if league isnt fun here @loltyler1"
paytonbp,#loltyler1,LOL
tista002,#loltyler1,!rank
softlesbiankisses,#jinnytty,modCheck
mrgrammar86,#loltyler1,KEKW KINDRED
rudeguychase,#loltyler1,KR URGOT SOUNDS ANNOYING
waifu_body_pillow_,#jinnytty,15 subs per floor PauseChamp
ilcontadinotedesco,#jinnytty,you can do it youre strong
auraxed,#jinnytty,DED
pastell31,#loltyler1,KEKW 15
alejandro_18_04,#loltyler1,!uptime
naz94x,#jinnytty,content. YEP
fossabot,#loltyler1,"@Tista002, ACCOUNTS: BIG TONKA T is currently Master I 111 LP"
kimikumm,#jinnytty,Deadge
cyrixb,#loltyler1,sigh Sadge
gunerjay,#jinnytty,modCheck Jinjin cumback guy
cheese_n_onion,#jinnytty,1000 subs and death then
mucchi_7,#jinnytty,KEKGiggle uck norris
adamek700,#loltyler1,its silver?
hox20s,#loltyler1,Sadge  THIS FUCKING CLOWN SERVER
baddemon90,#jinnytty,bbOOMER
mageofequinox,#loltyler1,holy shut kindred 1-9
grand_m4gus,#jinnytty,teng teng go up
half_winged_devil,#loltyler1,lead is gone KEKW
dzbog,#loltyler1,FeelsBadMan
hijzo,#loltyler1,Sadge
kulagep5,#loltyler1,1-10 KEKW
xenuxable,#loltyler1,team throws
yakitorii87,#jinnytty,Deadge deg
tazzerer,#loltyler1,another loss? KEKW
woodywombpecker69,#loltyler1,kindred says stfu
battleaxebob,#loltyler1,kindred? modCheck
diiallga_43,#loltyler1,kindred is target inting you
happyfluffyteddy,#jinnytty,yyjPopcorn
nightbot,#loltyler1,Stream uptime: 5 hours 50 minutes 32 seconds
allexxx1996,#jinnytty,not worth 1k subs NOIDONTTHINKSO
dr_torquemada_,#loltyler1,gg ff
rakhox,#jinnytty,PepeLaugh
r1se_2k,#jinnytty,F inc PauseChamp
edwardafk,#loltyler1,this team my god
cyberpandaone,#jinnytty,yo
sicrano77,#jinnytty,KEKW 0/1000
5734l3r,#loltyler1,BigBrother HOSTAGED
shayuki,#loltyler1,BigBrother
streamelements,#jinnytty,Enjoying the stream? Subscribe to support the channel! https://www.twitch.tv/subs/jinnytty
ichaosgod,#loltyler1,KEKW korea
zelvas,#loltyler1,N OMEGALUL
zzsml,#jinnytty,better than do squad LUL
doloriferous,#loltyler1,Sadge
brelovix,#loltyler1,BigBrother
yus1785,#loltyler1,BigBrother NOO !!!!!!!!
moonsnail01,#jinnytty,you could do it xx
boyraaa,#jinnytty,THEY LAUGH AT U
missingonee,#jinnytty,isnt it 68?
ioixdd,#loltyler1,BigBrother
baddemon90,#jinnytty,BBoomer
hastheman,#loltyler1,they baited the win its not possbk;e
judyidkj,#jinnytty,Oilers
jesse_000,#loltyler1,BigBrother hostage
lightbicky,#loltyler1,!op.gg
fossabot,#loltyler1,@Lightbicky https://www.op.gg/summoners/kr/BIG%20TONKA%20T
azkabanchamberstone23,#loltyler1,no BigBrother
honda_nsx_gt,#loltyler1,WINNABLE BigBrother
rwv_,#loltyler1,BigBrother
leonfighter65,#jinnytty,scale---> 40
dingledangle88,#loltyler1,"I think masters sounds about right, that'll be your ceiling on the world's premier server, sorry to say lil guy SillyChamp"
eptimone,#loltyler1,PepeLaugh
whatisthiszz,#jinnytty,lift modCheck
yourealsmart,#loltyler1,END STREAM ADN RESET ITS LOSERS QUEUE
xandersonepic,#loltyler1,!rank
fossabot,#loltyler1,"@XandersonEpic, ACCOUNTS: BIG TONKA T is currently Master I 111 LP"
farisss_,#loltyler1,This is actually sad. 10 unlucky games
kofupoka__,#jinnytty,"@sinclair_bear, twitch kr rewards thing"
goingdarkn,#loltyler1,STOP LOSING
fuzzel2,#loltyler1,PotFriend PotFriend
paink200,#loltyler1,KEKW TYLER1-10 KEKW TYLER1-10 KEKW TYLER1-10 KEKW TYLER1-10
fishy_flavor,#jinnytty,do it as a challenge @Jinnytty I bet you can't
erenpls3,#loltyler1,EZ
sodragon,#jinnytty,PauseChamp
hypedxgames,#jinnytty,!followage
streamelements,#jinnytty,"@hypedxgames, hypedxgames has been following jinnytty for  1 year 2 months 22 days 12 hours"
sleepmap,#jinnytty,I'll be the stairs you step on Kreygasm
revonn_l,#jinnytty,Take Iron Man Suit
linus10,#loltyler1,Pog
doloriferous,#loltyler1,EZ
spogg,#loltyler1,I swear Xayah is broken
kipseu,#jinnytty,-
bopplerooni,#loltyler1,PotFriend PotFriend
slickrick2789,#loltyler1,tyler1Dab tyler1Dab tyler1Dab
sneaks_412,#loltyler1,CLEAN!!
mr__rui,#loltyler1,yummy Kreygasm
b33day,#jinnytty,swim in sweat
hotnfoamy,#jinnytty,AYAYA
